created_at,entry_id,Temperature (C),Turbidity(NTU),PH
2021-08-08 01:32:07 CET,129565,24.8125,34,7.22161
2021-08-08 01:32:26 CET,129566,24.8125,33,7.19891
2021-08-08 01:33:23 CET,129567,24.8125,33,7.19891
2021-08-08 01:33:43 CET,129568,24.75,34,7.18983
2021-08-08 01:34:02 CET,129569,24.75,34,7.21253
2021-08-08 01:34:59 CET,129570,24.75,33,7.18983
2021-08-08 01:35:19 CET,129571,24.75,34,7.21253
2021-08-08 01:35:38 CET,129572,24.75,34,7.20345
2021-08-08 01:35:58 CET,129573,24.75,34,7.21253
2021-08-08 01:36:17 CET,129574,24.75,34,7.20345
2021-08-08 01:36:37 CET,129575,24.75,34,7.19891
2021-08-08 01:36:56 CET,129576,24.8125,34,7.21707
2021-08-08 01:37:16 CET,129577,24.75,33,7.19891
2021-08-08 01:37:35 CET,129578,24.75,33,7.19437
2021-08-08 01:37:55 CET,129579,24.8125,34,7.21707
2021-08-08 01:38:14 CET,129580,24.8125,34,7.21253
2021-08-08 01:38:34 CET,129581,24.8125,34,7.20345
2021-08-08 01:39:30 CET,129582,24.75,34,7.21253
2021-08-08 01:39:50 CET,129583,24.75,33,7.19891
2021-08-08 01:40:09 CET,129584,24.8125,34,7.19437
2021-08-08 01:40:29 CET,129585,24.75,34,7.20345
2021-08-08 01:40:48 CET,129586,24.75,33,7.23977
2021-08-08 01:41:08 CET,129587,24.75,34,7.20345
2021-08-08 01:41:27 CET,129588,24.75,34,7.20345
2021-08-08 01:41:47 CET,129589,24.75,34,7.21707
2021-08-08 01:42:07 CET,129590,24.75,34,7.19437
2021-08-08 01:42:26 CET,129591,24.8125,33,7.20345
2021-08-08 01:42:46 CET,129592,24.75,34,7.21253
2021-08-08 01:43:05 CET,129593,24.75,33,7.19891
2021-08-08 01:43:25 CET,129594,24.75,34,7.19891
2021-08-08 01:43:44 CET,129595,24.75,34,7.21253
2021-08-08 01:44:04 CET,129596,24.75,34,7.21707
2021-08-08 01:45:00 CET,129597,24.75,33,7.18983
2021-08-08 01:45:56 CET,129598,24.6875,34,7.19891
2021-08-08 01:46:16 CET,129599,24.75,34,7.22161
2021-08-08 01:47:13 CET,129600,24.6875,34,7.21253
2021-08-08 01:47:33 CET,129601,24.75,33,7.19891
2021-08-08 01:47:52 CET,129602,24.6875,34,7.21253
2021-08-08 01:48:12 CET,129603,24.6875,33,7.21253
2021-08-08 01:48:31 CET,129604,24.6875,34,7.20345
2021-08-08 01:48:51 CET,129605,24.6875,34,7.19437
2021-08-08 01:49:10 CET,129606,24.6875,33,7.21253
2021-08-08 01:49:30 CET,129607,24.6875,33,7.19437
2021-08-08 01:49:49 CET,129608,24.6875,34,7.19891
2021-08-08 01:50:09 CET,129609,24.6875,33,7.21253
2021-08-08 01:50:28 CET,129610,24.6875,34,7.21253
2021-08-08 01:50:48 CET,129611,24.6875,33,7.19891
2021-08-08 01:51:07 CET,129612,24.6875,33,7.22161
2021-08-08 01:51:27 CET,129613,24.75,34,7.20345
2021-08-08 01:51:46 CET,129614,24.6875,34,7.21707
2021-08-08 01:52:06 CET,129615,24.6875,33,7.19891
2021-08-08 01:52:25 CET,129616,24.6875,34,7.22161
2021-08-08 01:52:45 CET,129617,24.6875,34,7.19437
2021-08-08 01:53:41 CET,129618,24.6875,33,7.19891
2021-08-08 01:54:00 CET,129619,24.6875,34,7.21707
2021-08-08 01:54:20 CET,129620,24.75,34,7.19891
2021-08-08 01:54:39 CET,129621,24.6875,35,7.20799
2021-08-08 01:54:59 CET,129622,24.75,34,7.19891
2021-08-08 01:55:19 CET,129623,24.75,33,7.23069
2021-08-08 01:55:38 CET,129624,24.6875,33,7.21253
2021-08-08 01:56:35 CET,129625,24.6875,33,7.21707
2021-08-08 01:56:54 CET,129626,24.6875,33,7.21707
2021-08-08 01:58:28 CET,129627,24.625,33,7.18983
2021-08-08 01:58:47 CET,129628,24.6875,33,7.20345
2021-08-08 01:59:07 CET,129629,24.625,34,7.21707
2021-08-08 01:59:27 CET,129630,24.6875,33,7.20345
2021-08-08 01:59:46 CET,129631,24.625,33,7.19437
2021-08-08 02:00:06 CET,129632,24.625,34,7.21707
2021-08-08 02:00:25 CET,129633,24.625,33,7.20345
2021-08-08 02:00:45 CET,129634,24.625,34,7.21253
2021-08-08 02:01:04 CET,129635,24.6875,33,7.19891
2021-08-08 02:01:24 CET,129636,24.75,33,7.23069
2021-08-08 02:01:43 CET,129637,24.6875,34,7.21253
2021-08-08 02:02:03 CET,129638,24.6875,34,7.20345
2021-08-08 02:02:22 CET,129639,24.6875,33,7.21253
2021-08-08 02:02:42 CET,129640,24.6875,34,7.20345
2021-08-08 02:03:01 CET,129641,24.6875,33,7.20345
2021-08-08 02:03:21 CET,129642,24.625,34,7.20345
2021-08-08 02:03:40 CET,129643,24.6875,33,7.20345
2021-08-08 02:04:00 CET,129644,24.6875,33,7.19437
2021-08-08 02:04:19 CET,129645,24.6875,33,7.20345
